"approv","pi_rat","white","hse_inc","loan_val","ccred","mcred","pubrec","denpmi","selfemp","married","single","ltv_med","ltv_high"
1,0.22100000083446503,1,0.22100000083446503,0.800000011920929,5,2,0,0,0,1,0,1,0
1,0.26499998569488525,1,0.26499998569488525,0.921875,2,2,0,0,0,0,1,1,0
1,0.3720000088214874,1,0.24799999594688416,0.9203979969024658,1,2,0,0,0,1,0,1,0
1,0.3199999928474426,1,0.25,0.8604651093482971,1,2,0,0,0,1,0,1,0
1,0.36000001430511475,1,0.3499999940395355,0.6000000238418579,1,1,0,0,0,1,0,0,0
1,0.23999999463558197,1,0.17000000178813934,0.5105262994766235,1,1,0,0,0,1,0,0,0
1,0.3499999940395355,1,0.28999999165534973,0.746666669845581,1,2,0,0,0,0,1,0,0
1,0.2800000011920929,1,0.2199999988079071,0.8500000238418579,2,2,0,0,0,1,0,1,0
0,0.3100000023841858,1,0.23999999463558197,0.8972602486610413,2,2,0,1,0,1,0,1,0
1,0.18000000715255737,1,0.17000000178813934,0.35874438285827637,2,1,0,0,0,0,1,0,0
1,0.2800000011920929,1,0.27000001072883606,0.2238806039094925,1,2,0,0,0,0,1,0,0
1,0.3100000023841858,1,0.30000001192092896,0.6888889074325562,1,2,0,0,0,0,1,0,0
0,0.2800000011920929,1,0.27000001072883606,0.5376344323158264,1,2,0,1,0,1,0,0,0
1,0.36000001430511475,1,0.3400000035762787,0.649438202381134,1,1,0,0,0,1,0,0,0
1,0.18000000715255737,1,0.15000000596046448,0.36250001192092896,1,1,0,0,0,1,0,0,0
1,0.36000001430511475,1,0.27000001072883606,0.8333333134651184,2,1,0,0,0,1,0,1,0
1,0.23000000417232513,1,0.2199999988079071,0.6428571343421936,1,1,0,0,0,1,0,0,0
1,0.3199999928474426,1,0.27000001072883606,0.4375,2,1,0,0,0,1,0,0,0
1,0.3100000023841858,1,0.28999999165534973,0.7944444417953491,2,2,0,0,0,1,0,0,0
1,0.3700000047683716,1,0.2800000011920929,0.800000011920929,2,2,0,0,0,0,1,1,0
0,0.3700000047683716,1,0.2199999988079071,0.8963414430618286,6,1,1,1,0,1,0,1,0
1,0.38999998569488525,1,0.3100000023841858,0.8785714507102966,3,2,0,0,0,1,0,1,0
1,0.3199999928474426,1,0.3199999928474426,0.7720588445663452,1,2,0,0,0,0,1,0,0
1,0.38999998569488525,1,0.33000001311302185,0.9010238647460938,1,2,0,0,0,1,0,1,0
1,0.33000001311302185,1,0.3100000023841858,0.6543778777122498,1,2,0,0,0,0,1,0,0
1,0.2800000011920929,1,0.12999999523162842,0.6296296119689941,1,2,0,0,0,0,1,0,0
1,0.3700000047683716,1,0.2800000011920929,0.8947368264198303,1,2,0,0,0,0,1,1,0
1,0.30000001192092896,1,0.25,0.48543688654899597,1,2,0,0,0,0,1,0,0
1,0.3100000023841858,1,0.28999999165534973,0.949367105960846,1,2,0,0,0,1,0,1,0
1,0.25999999046325684,0,0.20999999344348907,0.8910890817642212,1,2,0,0,0,0,1,1,0
1,0.36000001430511475,1,0.28999999165534973,0.8633093237876892,1,2,0,0,0,0,1,1,0
1,0.3700000047683716,1,0.20000000298023224,0.7142857313156128,5,1,0,0,0,1,0,0,0
1,0.3499999940395355,1,0.25999999046325684,0.7512195110321045,3,2,0,0,0,0,1,0,0
